Item_Weight,Item_Fat_Content,Item_Visibility,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
15.85,Regular,0.121632721,Small,Tier 1,Supermarket Type1,1794.256407
,Regular,0.255394896,Small,Tier 1,Grocery Store,1026.848067
7.39,Low Fat,0.067779712,Small,Tier 1,Supermarket Type1,1774.693243
10.195,Low Fat,0.159803853,High,Tier 3,Supermarket Type1,2086.970508
9.895,Regular,0.028696932,High,Tier 3,Supermarket Type1,1882.685806
10.895,Low Fat,0.065041581,,Tier 2,Supermarket Type1,1565.626955
12.15,Low Fat,0.028760013,,Tier 2,Supermarket Type1,1530.370574
7.905,Low Fat,0.010053105,Medium,Tier 3,Supermarket Type2,1211.158947
9.195,Low Fat,0.048157338,,Tier 2,Supermarket Type1,1548.157338
8.365,Low Fat,0.071958197,Medium,Tier 1,Supermarket Type1,2085.054589
15.1,Low Fat,0.173481304,Small,Tier 1,Supermarket Type1,1892.564247
,Low Fat,0.061082177,Small,Tier 1,Grocery Store,861.9373275
10,Low Fat,0,Medium,Tier 3,Supermarket Type2,1200
7.97,Regular,0.040071131,,Tier 2,Supermarket Type1,1491.513692
,Low Fat,0.012090074,Medium,Tier 3,Supermarket Type3,813.6980538
,Regular,0.15028599,Small,Tier 1,Grocery Store,912.0082972
,Low Fat,0.026015519,Medium,Tier 3,Supermarket Type3,828.5650399
17.7,LF,0.195068226,,Tier 3,Grocery Store,599.359727
19.35,Low Fat,0.033082215,Small,Tier 2,Supermarket Type1,1535.067148
13.65,Regular,0.078946455,,Tier 2,Supermarket Type1,1542.604192
17.6,Low Fat,0.041700756,,Tier 2,Supermarket Type1,1547.330358
8.645,Low Fat,0.143422643,Small,Tier 1,Supermarket Type1,1844.856869
15.6,Regular,0.105296072,Small,Tier 1,Supermarket Type1,1765.193903
15.85,Regular,0.121531501,High,Tier 3,Supermarket Type1,1993.528703
18.25,Low Fat,0,,Tier 2,Supermarket Type1,1500
7.855,Low Fat,0.011324862,,Tier 2,Supermarket Type1,1511.653283
7.825,low fat,0.186357148,Medium,Tier 1,Supermarket Type1,2189.52522
8.39,Regular,0.024205661,Small,Tier 1,Supermarket Type1,1677.812304
12.85,Low Fat,0.033230816,Medium,Tier 1,Supermarket Type1,2037.88313
,Low Fat,0.113720344,Small,Tier 1,Grocery Store,933.3939635
19,Low Fat,0.112556507,,Tier 2,Supermarket Type1,1616.383428
5.905,Low Fat,0,,Tier 2,Supermarket Type1,1500
7.76,Low Fat,0.059352241,Small,Tier 1,Supermarket Type1,1767.364794
11.8,reg,0.014087057,Small,Tier 1,Supermarket Type1,1664.664626
16.75,low fat,0.045230944,Medium,Tier 3,Supermarket Type2,1252.739281
,Low Fat,0.293417759,Small,Tier 1,Grocery Store,1119.53194
,Regular,0.031382044,Medium,Tier 3,Supermarket Type3,781.5703363
15.5,Regular,0.12639886,,Tier 2,Supermarket Type1,1599.909048
6.055,Low Fat,0.025403898,Small,Tier 2,Supermarket Type1,1527.359998
,Regular,0.039057677,Medium,Tier 3,Supermarket Type3,794.018002
6.305,Regular,0.123115764,Small,Tier 1,Supermarket Type1,1795.645949
20.85,Low Fat,0.039624006,Medium,Tier 1,Supermarket Type1,2042.199566
20.75,Low Fat,0.040421193,,Tier 3,Grocery Store,446.7673203
8.895,Low Fat,0.105274111,Medium,Tier 1,Supermarket Type1,2125.697289
19.6,Low Fat,0.033970195,,Tier 2,Supermarket Type1,1537.706916
19.7,Low Fat,0.053212652,Small,Tier 2,Supermarket Type1,1553.638353
9.8,Low Fat,0.024378706,Small,Tier 2,Supermarket Type1,1527.49918
,Low Fat,0.009714595,Small,Tier 1,Grocery Store,810.2100393
12.15,Low Fat,0.131383762,Medium,Tier 1,Supermarket Type1,2137.690183
8.75,Regular,0.07461309,Small,Tier 2,Supermarket Type1,1532.82053
,Low Fat,0.028459761,Medium,Tier 3,Supermarket Type3,833.4686789
8.75,Regular,0.074627201,Small,Tier 1,Supermarket Type1,1731.418276
13.3,Low Fat,0.063695084,,Tier 2,Supermarket Type1,1575.032809
,Regular,0.045797829,Medium,Tier 3,Supermarket Type3,798.5456987
8.31,Regular,0.115857223,Medium,Tier 1,Supermarket Type1,2074.3148
16.75,Regular,0.024832806,High,Tier 3,Supermarket Type1,1875.379128
19.75,Low Fat,0.034027909,Medium,Tier 3,Supermarket Type2,1240.152933
17.1,Regular,0.0467696,High,Tier 3,Supermarket Type1,1898.172688
10.5,Regular,0.116576702,High,Tier 3,Supermarket Type1,1972.522114
6.635,Regular,0,,Tier 2,Supermarket Type1,1450
,low fat,0.278974075,Small,Tier 1,Grocery Store,1119.425316
14.15,Low Fat,0.035913805,High,Tier 3,Supermarket Type1,1941.875497
13.3,Low Fat,0.079806266,Small,Tier 1,Supermarket Type1,1789.54263
8.89,low fat,0.005505481,,Tier 2,Supermarket Type1,1506.57905
,Regular,0.064625342,Small,Tier 1,Grocery Store,819.8599947
,Low Fat,0.071636937,Medium,Tier 3,Supermarket Type3,876.0067902
9.1,Regular,0,,Tier 2,Supermarket Type1,1450
7.5,Low Fat,0.032677678,Medium,Tier 1,Supermarket Type1,2035.161182
16.85,Regular,0.160760054,,Tier 2,Supermarket Type1,1625.871499
7.485,Low Fat,0.06911065,Small,Tier 2,Supermarket Type1,1569.870867
11.6,Low Fat,0.041177505,,Tier 2,Supermarket Type1,1543.07167
11.65,Low Fat,0.040081193,Medium,Tier 3,Supermarket Type2,1243.568257
13,Low Fat,0.035307322,,Tier 2,Supermarket Type1,1535.872239
12.65,LF,0.063017847,,Tier 2,Supermarket Type1,1574.550113
20.25,Regular,0.171938781,,Tier 3,Grocery Store,536.5535774
8.6,Regular,0.040197932,Small,Tier 2,Supermarket Type1,1491.725453
12.6,Low Fat,0.049058014,,Tier 2,Supermarket Type1,1555.043092
17.7,Low Fat,0.01161096,Small,Tier 2,Supermarket Type1,1513.236494
14.15,Low Fat,0.183507295,Small,Tier 1,Supermarket Type1,1911.216897
19.25,Low Fat,0.102349519,,Tier 2,Supermarket Type1,1620.772432
8.88,Low Fat,0.086708987,High,Tier 3,Supermarket Type1,2002.143187
20.5,Low Fat,0.032835147,,Tier 2,Supermarket Type1,1534.017212
,Low Fat,0.033809913,Medium,Tier 3,Supermarket Type3,834.6889707
13.5,Low Fat,0.07266912,Small,Tier 1,Supermarket Type1,1782.55212
,Low Fat,0.144338493,Medium,Tier 3,Supermarket Type3,946.2148934
8.89,Low Fat,0.009163216,,Tier 3,Grocery Store,410.1345169
7.855,Low Fat,0.011307038,Medium,Tier 3,Supermarket Type2,1211.431415
7.235,Low Fat,0.076855628,Small,Tier 1,Supermarket Type1,1789.229384
,Low Fat,0.059956876,Medium,Tier 3,Supermarket Type3,863.7341592
6.92,Low Fat,0.038532062,,Tier 2,Supermarket Type1,1543.271506
9.3,Low Fat,0.043209581,,Tier 2,Supermarket Type1,1545.586108
18.5,Low Fat,0.056816465,,Tier 3,Grocery Store,456.816465
8.02,Low Fat,0.019866705,Small,Tier 2,Supermarket Type1,1523.402978
9.195,Low Fat,0.048331717,,Tier 2,Supermarket Type1,1554.953162
12.8,Low Fat,0.091221855,,Tier 2,Supermarket Type1,1604.72269
16.6,Low Fat,0.027622076,Medium,Tier 1,Supermarket Type1,2033.146491
14,Regular,0,Small,Tier 2,Supermarket Type1,1450
18.6,Low Fat,0.039355947,Medium,Tier 1,Supermarket Type1,2045.889034
16,Low Fat,0.060836524,Small,Tier 2,Supermarket Type1,1565.946792
17.6,Low Fat,0.082316506,Small,Tier 2,Supermarket Type1,1588.984143
21.25,Low Fat,0.155350299,Small,Tier 2,Supermarket Type1,1659.078706
7.235,Low Fat,0.076841095,Small,Tier 2,Supermarket Type1,1580.375785
14.6,Low Fat,0.151419185,,Tier 2,Supermarket Type1,1672.163613
13.85,reg,0.026001976,Medium,Tier 3,Supermarket Type2,1177.068057
13.65,Regular,0.073209447,Medium,Tier 3,Supermarket Type2,1229.725088
,Low Fat,0.041683481,Medium,Tier 3,Supermarket Type3,848.352838
7.365,Low Fat,0.042560252,Small,Tier 1,Supermarket Type1,1746.560916
18.35,Low Fat,0.014081156,Medium,Tier 3,Supermarket Type2,1214.461347
5.465,Regular,0,Medium,Tier 3,Supermarket Type2,1150
18.6,Low Fat,0.152918384,,Tier 2,Supermarket Type1,1676.92657
13.85,Low Fat,0.030969274,,Tier 2,Supermarket Type1,1536.822467
14,Regular,0.060376776,High,Tier 3,Supermarket Type1,1914.42202
14,Regular,0.04192285,High,Tier 3,Supermarket Type1,1894.018993
,Low Fat,0.077367431,Medium,Tier 3,Supermarket Type3,881.9321094
5.905,Low Fat,0.045838211,Medium,Tier 3,Supermarket Type2,1250.284517
7.27,Low Fat,0.071077939,Small,Tier 1,Supermarket Type1,1776.90633
6.155,Regular,0.094659871,Small,Tier 1,Supermarket Type1,1761.225348
19.5,Regular,0.077608838,,Tier 2,Supermarket Type1,1539.48299
15.2,Low Fat,0.021327477,,Tier 2,Supermarket Type1,1522.777745
12.15,Regular,0.042485444,Medium,Tier 3,Supermarket Type2,1196.733988
,Low Fat,0.025578526,Medium,Tier 3,Supermarket Type3,826.0133609
12.6,Low Fat,0.0489808,Medium,Tier 3,Supermarket Type2,1254.564611
14.5,Low Fat,0.019471688,Small,Tier 2,Supermarket Type1,1522.84029
16.6,Low Fat,0.122918852,,Tier 2,Supermarket Type1,1640.127491
11.8,Regular,0.057373797,High,Tier 3,Supermarket Type1,1916.151988
13.1,Regular,0.044155597,High,Tier 3,Supermarket Type1,1902.412694
17.7,Low Fat,0.291865402,,Tier 3,Grocery Store,723.9705962
17.85,LF,0,,Tier 3,Grocery Store,400
12.3,Regular,0.064750025,,Tier 2,Supermarket Type1,1517.469526
11.8,Low Fat,0.098312421,,Tier 3,Grocery Store,517.1884058
,Regular,0.191013663,Small,Tier 1,Grocery Store,975.9691633
11.1,Low Fat,0.176573035,,Tier 2,Supermarket Type1,1708.179608
,Regular,0.060134441,Medium,Tier 3,Supermarket Type3,819.4552794
11.3,Low Fat,0.007294652,,Tier 2,Supermarket Type1,1508.687931
,Low Fat,0.128478462,Small,Tier 1,Grocery Store,951.8615421
5.75,Regular,0.075107656,High,Tier 3,Supermarket Type1,1932.01756
,Regular,0.049381406,Medium,Tier 3,Supermarket Type3,803.6775883
11.35,Regular,0.045165796,Medium,Tier 3,Supermarket Type2,1198.508065
,Regular,0.09415375,Small,Tier 1,Grocery Store,845.283595
14,Low Fat,0.028907832,Medium,Tier 1,Supermarket Type1,2030.786841
19.75,Regular,0.018059621,,Tier 2,Supermarket Type1,1469.396033
6.525,Low Fat,0.090436094,Medium,Tier 1,Supermarket Type1,2095.138771
10.3,Low Fat,0.146399712,Medium,Tier 1,Supermarket Type1,2161.918081
5.78,Regular,0.074264356,Medium,Tier 1,Supermarket Type1,2031.765056
11.85,Regular,0.050186726,,Tier 2,Supermarket Type1,1504.502784
16.35,Low Fat,0.020631654,Medium,Tier 3,Supermarket Type2,1224.056509
,Low Fat,0.01561108,Medium,Tier 3,Supermarket Type3,815.9076905
10.5,Low Fat,0.041395445,Small,Tier 1,Supermarket Type1,1746.859644
19,Regular,0.097313129,Small,Tier 1,Supermarket Type1,1754.514301
14.6,Low Fat,0.059582996,Medium,Tier 1,Supermarket Type1,2059.821328
,Regular,0.098663652,Medium,Tier 3,Supermarket Type3,865.5351365
,reg,0.101338651,Medium,Tier 3,Supermarket Type3,871.4037039
18.75,Low Fat,0.052146456,,Tier 2,Supermarket Type1,1553.919436
5.26,Regular,0.041764487,Small,Tier 2,Supermarket Type1,1500.07562
18.25,Low Fat,0.054344186,,Tier 2,Supermarket Type1,1559.506884
,Low Fat,0.078362484,Medium,Tier 3,Supermarket Type3,879.6162837
15.1,Low Fat,0.052339069,Small,Tier 1,Supermarket Type1,1758.148706
15.5,Regular,0.042464962,,Tier 3,Grocery Store,398.4949866
13.65,Low Fat,0.065732883,Medium,Tier 1,Supermarket Type1,2071.714575
16.1,LF,0.023625114,,Tier 2,Supermarket Type1,1525.444248
,Regular,0.051643608,Small,Tier 1,Grocery Store,801.7985388
12.85,Low Fat,0.165694219,,Tier 3,Grocery Store,577.789897
9.5,LF,0.041878397,Small,Tier 2,Supermarket Type1,1550.086563
13.8,Low Fat,0.058091482,Small,Tier 2,Supermarket Type1,1563.90063
5.78,Regular,0,,Tier 2,Supermarket Type1,1450
19.7,Low Fat,0.026903714,,Tier 2,Supermarket Type1,1527.81844
14.65,Low Fat,0,,Tier 3,Grocery Store,400
6.67,Regular,0.150554711,,Tier 3,Grocery Store,529.3106608
6.11,Regular,0,,Tier 3,Grocery Store,350
13.65,Regular,0.134975628,,Tier 3,Grocery Store,494.1539707
17.2,Low Fat,0.15616879,High,Tier 3,Supermarket Type1,2087.402548
6.32,LF,0,Small,Tier 2,Supermarket Type1,1500
4.88,Regular,0.133700752,Medium,Tier 1,Supermarket Type1,2095.332717
5.425,Regular,0.115119905,,Tier 2,Supermarket Type1,1581.466932
15.85,Regular,0.110030997,Small,Tier 1,Supermarket Type1,1780.056638
7.5,Low Fat,0.051038045,,Tier 2,Supermarket Type1,1559.561399
12.65,Low Fat,0.062837968,High,Tier 3,Supermarket Type1,1970.81839
,Low Fat,0.017116983,Small,Tier 1,Grocery Store,820.2322739
20.75,Low Fat,0.024129332,High,Tier 3,Supermarket Type1,1925.335799
,Low Fat,0.049754975,Small,Tier 1,Grocery Store,855.775327
9,Low Fat,0,Small,Tier 2,Supermarket Type1,1500
,Low Fat,0.101561568,Medium,Tier 3,Supermarket Type3,904.608415
,Low Fat,0.005949644,Medium,Tier 3,Supermarket Type3,806.8480402
,Regular,0.13956116,Medium,Tier 3,Supermarket Type3,897.6557073
14.1,Low Fat,0.126035694,,Tier 2,Supermarket Type1,1626.665872
7.55,Low Fat,0.027164679,Small,Tier 2,Supermarket Type1,1530.261452
13,Low Fat,0.099325278,Small,Tier 1,Supermarket Type1,1799.424603
,Low Fat,0.04357366,Medium,Tier 3,Supermarket Type3,843.704381
,Regular,0.082741482,Small,Tier 1,Grocery Store,848.7933295
12.3,Regular,0.064565202,High,Tier 3,Supermarket Type1,1920.311505
,LF,0.084554569,Medium,Tier 3,Supermarket Type3,900.1126097
,Low Fat,0.058451805,Medium,Tier 3,Supermarket Type3,862.3096241
17.25,Low Fat,0.113748685,,Tier 2,Supermarket Type1,1613.862434
15.85,Low Fat,0.020603511,,Tier 2,Supermarket Type1,1520.665322
18.85,Low Fat,0.052044976,Small,Tier 2,Supermarket Type1,1556.676979
16.35,Regular,0.062764429,,Tier 2,Supermarket Type1,1518.601521
14.1,Low Fat,0.087977262,Small,Tier 2,Supermarket Type1,1592.55208
7.905,Low Fat,0.010010425,Small,Tier 2,Supermarket Type1,1511.622103
12,Low Fat,0.033946163,High,Tier 3,Supermarket Type1,1939.207818
12.15,Regular,0.058414678,Small,Tier 2,Supermarket Type1,1510.050289
10.1,Low Fat,0.027106459,Medium,Tier 1,Supermarket Type1,2031.145321
17.5,Low Fat,0.027022883,,Tier 2,Supermarket Type1,1531.454636
,Low Fat,0.058153409,Small,Tier 1,Grocery Store,862.282301
17.1,Low Fat,0.128937661,Medium,Tier 3,Supermarket Type2,1338.865861
7.785,Low Fat,0.088846306,Medium,Tier 1,Supermarket Type1,2105.10518
11.8,Regular,0.09357779,High,Tier 3,Supermarket Type1,1957.614459
13.15,Regular,0.165694678,,Tier 2,Supermarket Type1,1644.525552
,Low Fat,0.148392623,Small,Tier 1,Grocery Store,960.1156402
8.5,Low Fat,0.098438394,,Tier 2,Supermarket Type1,1608.47911
8.645,Low Fat,0.143303291,High,Tier 3,Supermarket Type1,2056.917104
17.6,Regular,0.076276208,,Tier 2,Supermarket Type1,1528.259389
9.1,Low Fat,0.175103435,,Tier 2,Supermarket Type1,1693.664399
12.8,Regular,0.023511371,High,Tier 3,Supermarket Type1,1873.769996
7.63,Low Fat,0.06105276,Small,Tier 2,Supermarket Type1,1571.614887
9.285,Regular,0.049559042,,Tier 2,Supermarket Type1,1506.546867
13.6,Regular,0.119418124,,Tier 2,Supermarket Type1,1570.492887
8.895,Low Fat,0.072545601,,Tier 2,Supermarket Type1,1577.768884
16.35,Low Fat,0.090486828,High,Tier 3,Supermarket Type1,1991.663157
17.6,Low Fat,0.056245075,High,Tier 3,Supermarket Type1,1963.106974
7.975,Low Fat,0.014618973,High,Tier 3,Supermarket Type1,1917.425816
15.85,Low Fat,0.043479126,,Tier 2,Supermarket Type1,1546.174832
15.7,Low Fat,0.045166237,High,Tier 3,Supermarket Type1,1953.160661
8.985,Regular,0.057827101,Small,Tier 1,Supermarket Type1,1708.810162
20.35,Low Fat,0.089394766,High,Tier 3,Supermarket Type1,2005.754008
6.59,Low Fat,0.10550944,High,Tier 3,Supermarket Type1,2025.767252
19.85,Low Fat,0.005234153,Small,Tier 2,Supermarket Type1,1505.522031
16.85,Low Fat,0.036390174,Small,Tier 1,Supermarket Type1,1742.649284
,Low Fat,0.03292824,Medium,Tier 3,Supermarket Type3,835.2990733
16.75,Low Fat,0.081252534,High,Tier 3,Supermarket Type1,1990.75908
17.6,Regular,0.076552407,,Tier 2,Supermarket Type1,1528.925532
7.905,Low Fat,0.016758569,,Tier 3,Grocery Store,419.90918
,Low Fat,0.044248175,Medium,Tier 3,Supermarket Type3,851.2393867
7.785,Regular,0.038288087,Medium,Tier 3,Supermarket Type2,1189.245289
7.825,Low Fat,0.186032678,Small,Tier 2,Supermarket Type1,1707.798501
,Low Fat,0.031867464,Medium,Tier 3,Supermarket Type3,836.5519812
20.75,Low Fat,0.021370201,,Tier 2,Supermarket Type1,1523.806404
,Low Fat,0.193772568,Small,Tier 1,Grocery Store,994.9352034
6.26,Regular,0.009866049,Small,Tier 2,Supermarket Type1,1461.010511
18.2,Low Fat,0.082551042,,Tier 3,Grocery Store,486.9262472
13,Low Fat,0.099729888,Medium,Tier 3,Supermarket Type2,1300.328267
20.25,Regular,0.018801549,Small,Tier 2,Supermarket Type1,1471.339758
8.695,Low Fat,0.119721451,Medium,Tier 1,Supermarket Type1,2123.073652
7.27,Low Fat,0.071222087,,Tier 2,Supermarket Type1,1580.623402
,Regular,0.060371962,Medium,Tier 3,Supermarket Type3,814.7187433
12.85,low fat,0.033287541,,Tier 2,Supermarket Type1,1539.079573
7.075,Low Fat,0.05858462,Medium,Tier 3,Supermarket Type2,1268.954098
,Regular,0.11679292,Medium,Tier 3,Supermarket Type3,873.3333235
8.195,Low Fat,0.031452265,Medium,Tier 1,Supermarket Type1,2037.08222
7.09,Low Fat,0.00721395,Small,Tier 2,Supermarket Type1,1507.480866
6.095,Low Fat,0.081196619,Small,Tier 1,Supermarket Type1,1790.53423
19.35,Regular,0.049916364,,Tier 2,Supermarket Type1,1504.059422
6.15,Low Fat,0.04627095,Small,Tier 1,Supermarket Type1,1755.154972
,Regular,0.02747716,Medium,Tier 3,Supermarket Type3,779.2356982
,Regular,0.104704537,Small,Tier 1,Grocery Store,863.9185363
17.7,Low Fat,0.012540003,Small,Tier 2,Supermarket Type1,1513.957023
17.85,Low Fat,0.147023834,Medium,Tier 3,Supermarket Type2,1364.51967
9.395,Low Fat,0.159657596,,Tier 2,Supermarket Type1,1665.724585
15.75,Low Fat,0.141398626,,Tier 2,Supermarket Type1,1659.214853
7.475,Low Fat,0.148821808,,Tier 2,Supermarket Type1,1668.466287
7.075,Low Fat,0,Medium,Tier 3,Supermarket Type2,1200
6.445,Low Fat,0.029691762,Small,Tier 1,Supermarket Type1,1735.630114
19.1,Low Fat,0.096715523,Small,Tier 2,Supermarket Type1,1606.580506
20.25,Regular,0.014790559,Small,Tier 2,Supermarket Type1,1467.319745
15,Regular,0.054378253,Small,Tier 1,Supermarket Type1,1715.090769
6.67,Regular,0.123428594,Small,Tier 1,Supermarket Type1,1777.748595
,Regular,0.029943463,Medium,Tier 3,Supermarket Type3,782.1592793
16.7,Regular,0.052368061,High,Tier 3,Supermarket Type1,1908.442756
7.07,Low Fat,0.093861144,,Tier 2,Supermarket Type1,1600.994591
6.48,Low Fat,0.033968647,,Tier 2,Supermarket Type1,1537.976947
19,Regular,0.173154079,,Tier 3,Grocery Store,555.1875836
13.35,Low Fat,0.139735226,,Tier 2,Supermarket Type1,1664.608096
,Low Fat,0.043351896,Medium,Tier 3,Supermarket Type3,844.4790453
,Low Fat,0.042086652,Medium,Tier 3,Supermarket Type3,847.1791369
9.695,Regular,0.12848269,Medium,Tier 1,Supermarket Type1,2093.001234
15,Low Fat,0.049357077,,Tier 2,Supermarket Type1,1554.391499
11.15,Regular,0.008326735,,Tier 2,Supermarket Type1,1459.042834
20.85,Low Fat,0.021362955,Medium,Tier 1,Supermarket Type1,2023.221532
9.8,Low Fat,0.151420934,,Tier 3,Grocery Store,581.7051208
16.35,Low Fat,0.032511818,High,Tier 3,Supermarket Type1,1936.770866
9.6,Regular,0.022323658,,Tier 2,Supermarket Type1,1475.091792
,Low Fat,0.019292355,Medium,Tier 3,Supermarket Type3,819.5238633
13.35,Low Fat,0.048124443,,Tier 2,Supermarket Type1,1548.316941
20.7,Low Fat,0.09261307,High,Tier 3,Supermarket Type1,1997.521563
,Low Fat,0.094697274,Medium,Tier 3,Supermarket Type3,906.3450387
16.2,Low Fat,0.035984104,,Tier 2,Supermarket Type1,1537.747325
,Regular,0.056596985,Medium,Tier 3,Supermarket Type3,817.803188
,Low Fat,0.2047,Small,Tier 1,Grocery Store,1032.1298
,Regular,0.020618324,Medium,Tier 3,Supermarket Type3,770.8863622
5.5,Low Fat,0.04709821,Small,Tier 1,Supermarket Type1,1748.699549
15.1,Regular,0.087584126,,Tier 2,Supermarket Type1,1548.882478
15.7,Regular,0.038078899,,Tier 2,Supermarket Type1,1495.237732
7.895,reg,0.095102092,,Tier 2,Supermarket Type1,1551.093524
,Regular,0.011953902,Medium,Tier 3,Supermarket Type3,763.7230795
17.35,Regular,0.062799379,High,Tier 3,Supermarket Type1,1914.620561
7.285,Low Fat,0.031125709,High,Tier 3,Supermarket Type1,1931.654846
20.25,Low Fat,0.026005891,,Tier 2,Supermarket Type1,1526.005891
,Low Fat,0.09246392,Small,Tier 1,Grocery Store,902.4500234
15.85,Low Fat,0.107765165,Medium,Tier 1,Supermarket Type1,2124.684296
6.17,Low Fat,0.010647477,Medium,Tier 1,Supermarket Type1,2010.658124
19.5,Low Fat,0.015749341,Medium,Tier 1,Supermarket Type1,2016.25332
19.2,Low Fat,0.077628053,Medium,Tier 1,Supermarket Type1,2084.148809
16.7,Low Fat,0,Medium,Tier 3,Supermarket Type2,1200
20.85,Regular,0.056695731,Medium,Tier 3,Supermarket Type2,1207.602863
14.5,Regular,0.063993068,,Tier 2,Supermarket Type1,1516.680777
11.395,Regular,0.069529262,High,Tier 3,Supermarket Type1,1923.979135
7.97,Low Fat,0.034452949,Small,Tier 1,Supermarket Type1,1738.380585
7.71,Regular,0.06670068,Medium,Tier 1,Supermarket Type1,2017.567789
19.25,Regular,0.034699737,Small,Tier 1,Supermarket Type1,1688.829006
7.075,Low Fat,0.058346939,Small,Tier 1,Supermarket Type1,1765.990388
,Regular,0.065203103,Medium,Tier 3,Supermarket Type3,821.0061792
11.6,Regular,0.078929571,Small,Tier 1,Supermarket Type1,1742.979035
,Low Fat,0.182514881,Medium,Tier 3,Supermarket Type3,990.7280506
12.1,Low Fat,0.016895293,Medium,Tier 3,Supermarket Type2,1216.895293
10,Low Fat,0.073379745,Small,Tier 1,Supermarket Type1,1783.946428
14.35,Low Fat,0.08075758,,Tier 2,Supermarket Type1,1583.180307
10.395,Low Fat,0.112271498,Medium,Tier 1,Supermarket Type1,2122.375933
,Low Fat,0.153741385,Small,Tier 1,Grocery Store,969.1155235
8.1,Low Fat,0.127929521,High,Tier 3,Supermarket Type1,2029.208816
8.05,Regular,0.07838564,Small,Tier 2,Supermarket Type1,1540.535414
9.195,Regular,0.078502143,,Tier 2,Supermarket Type1,1532.505752
20.7,Regular,0.047684831,Medium,Tier 3,Supermarket Type2,1206.792634
15.7,Regular,0.123159656,,Tier 2,Supermarket Type1,1580.549235
,Regular,0,Medium,Tier 3,Supermarket Type3,750
