Item_Weight,Item_Visibility,Item_Outlet_Sales
12.65,0.063017847,2085.9514
20.25,0.171938781,186.424
8.6,0.040197932,3036.048
12.6,0.049058014,866.8716
17.7,0.01161096,868.869
14.15,0.183507295,1137.1864
19.25,0.102349519,928.1252
8.88,0.086708987,762.341
20.5,0.032835147,707.0796
,0.033809913,7968.2944
13.5,0.07266912,1438.128
,0.144338493,6976.2524
8.89,0.009163216,101.2016
7.855,0.011307038,952.094
7.235,0.076855628,1969.4364
,0.059956876,5262.4832
6.92,0.038532062,1314.2892
9.3,0.043209581,535.3032
18.5,0.056816465,263.6568
8.02,0.019866705,1402.1748
9.195,0.048331717,1693.7952
12.8,0.091221855,2143.876
16.6,0.027622076,2676.516
14,0,905.488
18.6,0.039355947,7370.406
16,0.060836524,6301.1312
17.6,0.082316506,1597.92
21.25,0.155350299,529.311
7.235,0.076841095,1969.4364
14.6,0.151419185,1034.6532
13.85,0.026001976,1794.331
13.65,0.073209447,2768.3964
,0.041683481,898.83
7.365,0.042560252,3169.208
18.35,0.014081156,3589.9936
5.465,0,262.3252
18.6,0.152918384,1910.1802
13.85,0.030969274,1701.7848
14,0.060376776,2471.4496
14,0.04192285,1331.6
,0.077367431,1808.9786
5.905,0.045838211,3315.684
7.27,0.071077939,2618.5914
6.155,0.094659871,2769.728
19.5,0.077608838,5375.0034
15.2,0.021327477,2838.9712
12.15,0.042485444,1743.0644
,0.025578526,5555.4352
12.6,0.0489808,619.194
14.5,0.019471688,2120.573
16.6,0.122918852,3823.0236
11.8,0.057373797,1360.2294
13.1,0.044155597,3969.4996
17.7,0.291865402,345.5502
17.85,0,585.2382
12.3,0.064750025,1010.6844
11.8,0.098312421,161.1236
,0.191013663,42.6112
11.1,0.176573035,3010.7476
,0.060134441,6024.1584
11.3,0.007294652,988.713
,0.128478462,239.688
5.75,0.075107656,1374.2112
,0.049381406,4739.8302
11.35,0.045165796,1012.016
,0.09415375,657.8104
14,0.028907832,778.986
19.75,0.018059621,2336.958
6.525,0.090436094,2233.0932
10.3,0.146399712,1661.8368
5.78,0.074264356,4745.8224
11.85,0.050186726,3124.5994
16.35,0.020631654,467.3916
,0.01561108,5070.7328
10.5,0.041395445,540.6296
19,0.097313129,992.7078
14.6,0.059582996,6008.845
,0.098663652,2105.2596
,0.101338651,5359.69
18.75,0.052146456,745.696
5.26,0.041764487,3275.736
18.25,0.054344186,1701.7848
,0.078362484,6704.606
15.1,0.052339069,4119.9704
15.5,0.042464962,327.5736
13.65,0.065732883,780.9834
16.1,0.023625114,3630.6074
,0.051643608,317.5866
12.85,0.165694219,231.6984
9.5,0.041878397,133.16
13.8,0.058091482,5650.6446
5.78,0,2636.568
19.7,0.026903714,1272.3438
14.65,0,324.9104
6.67,0.150554711,131.1626
6.11,0,260.9936
13.65,0.134975628,260.9936
17.2,0.15616879,3690.5294
6.32,0,1139.1838
4.88,0.133700752,1995.4026
5.425,0.115119905,1416.8224
15.85,0.110030997,265.6542
7.5,0.051038045,3552.7088
12.65,0.062837968,2406.867
,0.017116983,213.056
20.75,0.024129332,2956.152
,0.049754975,153.134
9,0,1649.8524
,0.101561568,3101.2964
,0.005949644,4769.1254
,0.13956116,3435.528
14.1,0.126035694,1133.8574
7.55,0.027164679,2603.278
13,0.099325278,605.878
,0.04357366,2293.0152
,0.082741482,119.1782
12.3,0.064565202,1929.4884
,0.084554569,2074.6328
,0.058451805,241.6854
17.25,0.113748685,6795.1548
15.85,0.020603511,639.168
18.85,0.052044976,3248.4382
16.35,0.062764429,7222.5984
14.1,0.087977262,3225.1352
7.905,0.010010425,3755.112
12,0.033946163,3440.8544
12.15,0.058414678,974.7312
10.1,0.027106459,535.969
17.5,0.027022883,5259.82
,0.058153409,306.268
17.1,0.128937661,1779.0176
7.785,0.088846306,759.012
11.8,0.09357779,1877.556
13.15,0.165694678,3779.0808
,0.148392623,41.2796
8.5,0.098438394,259.662
8.645,0.143303291,193.082
17.6,0.076276208,1687.803
9.1,0.175103435,4655.9394
12.8,0.023511371,4950.8888
7.63,0.06105276,1418.154
9.285,0.049559042,1225.072
13.6,0.119418124,5359.69
8.895,0.072545601,1764.37
16.35,0.090486828,2553.343
17.6,0.056245075,1006.6896
7.975,0.014618973,1081.925
15.85,0.043479126,308.9312
15.7,0.045166237,2516.724
8.985,0.057827101,1428.141
20.35,0.089394766,2093.2752
6.59,0.10550944,1929.4884
19.85,0.005234153,5829.7448
16.85,0.036390174,2082.6224
,0.03292824,7298.4996
16.75,0.081252534,7452.9652
17.6,0.076552407,450.0808
7.905,0.016758569,500.6816
,0.044248175,3668.558
7.785,0.038288087,736.3748
7.825,0.186032678,6088.0752
,0.031867464,2125.2336
20.75,0.021370201,2277.036
,0.193772568,573.2538
6.26,0.009866049,2267.049
18.2,0.082551042,296.9468
13,0.099729888,559.272
20.25,0.018801549,5559.43
8.695,0.119721451,1237.7222
7.27,0.071222087,569.259
,0.060371962,3866.9664
12.85,0.033287541,1379.5376
7.075,0.05858462,1869.5664
,0.11679292,5499.508
8.195,0.031452265,925.462
7.09,0.00721395,583.2408
6.095,0.081196619,1418.154
19.35,0.049916364,942.7728
6.15,0.04627095,2364.9216
,0.02747716,3251.7672
,0.104704537,254.3356
17.7,0.012540003,5895.659
17.85,0.147023834,1134.5232
9.395,0.159657596,7696.648
15.75,0.141398626,2775.7202
7.475,0.148821808,5317.0788
7.075,0,874.8612
6.445,0.029691762,1039.9796
19.1,0.096715523,3038.0454
20.25,0.014790559,3848.324
15,0.054378253,527.3136
6.67,0.123428594,2390.8878
,0.029943463,1677.816
16.7,0.052368061,801.6232
7.07,0.093861144,1267.0174
6.48,0.033968647,886.8456
19,0.173154079,452.744
13.35,0.139735226,3877.6192
,0.043351896,4414.254
,0.042086652,5448.9072
9.695,0.12848269,4950.8888
15,0.049357077,958.752
11.15,0.008326735,1956.1204
20.85,0.021362955,2404.2038
9.8,0.151420934,387.4956
16.35,0.032511818,994.7052
9.6,0.022323658,1754.383
,0.019292355,3340.9844
13.35,0.048124443,3918.8988
20.7,0.09261307,306.268
,0.094697274,4278.4308
16.2,0.035984104,4425.5726
,0.056596985,9267.936
,0.2047,229.701
,0.020618324,2055.9904
5.5,0.04709821,3339.6528
15.1,0.087584126,6410.3224
15.7,0.038078899,1992.0736
7.895,0.095102092,2870.9296
,0.011953902,2807.0128
17.35,0.062799379,539.298
7.285,0.031125709,4377.635
20.25,0.026005891,2716.464
,0.09246392,383.5008
15.85,0.107765165,703.0848
6.17,0.010647477,1937.478
19.5,0.015749341,3307.6944
19.2,0.077628053,3142.576
16.7,0,2554.0088
20.85,0.056695731,1869.5664
14.5,0.063993068,5494.8474
11.395,0.069529262,6093.4016
7.97,0.034452949,2586.633
7.71,0.06670068,1255.6988
19.25,0.034699737,4093.3384
7.075,0.058346939,3163.8816
,0.065203103,5033.448
11.6,0.078929571,1137.1864
,0.182514881,2696.49
12.1,0.016895293,898.83
10,0.073379745,2756.412
14.35,0.08075758,878.856
10.395,0.112271498,659.142
,0.153741385,182.4292
8.1,0.127929521,3610.6334
8.05,0.07838564,5153.292
9.195,0.078502143,2588.6304
20.7,0.047684831,1286.3256
15.7,0.123159656,1230.3984
,0,1733.7432
,0.053392944,384.8324
16.5,0.036715907,3969.4996
9,0.065236932,7763.228
6.785,0.041947547,809.6128
19.5,0.082888496,1253.7014
7.575,0.055390121,5715.2272
18.2,0.012194556,1464.76
16.75,0.060495243,3251.1014
7.47,0,4274.436
,0.014753811,5375.0034
,0.160707489,1318.284
13.85,0.085622362,2251.7356
6.635,0.046350909,1176.4686
6.11,0.102920886,3523.4136
15.25,0.026604781,610.5386
15.85,0,1237.7222
15.2,0.031860325,474.0496
,0,717.7324
20.75,0.021250002,2580.6408
10.195,0.159936948,2552.6772
7.605,0.129503146,3914.904
18,0.142688846,796.9626
,0.179484411,916.1408
18.35,0.089163056,3259.7568
6.59,0.105761491,1677.816
13.8,0.056960814,3707.1744
21.2,0.00704098,2954.1546
10.5,0.011026594,2652.5472
8.97,0.093203257,1037.3164
,0.026916794,717.7324
10.6,0.035264298,426.112
13.65,0.015908424,6911.004
19,0.017719277,3811.0392
,0.035334201,2277.036
,0.065652494,48.6034
6.865,0.056919038,5770.4886
10.8,0.048143292,690.4346
16.7,0.022047313,1890.2062
,0.090427268,3195.84
15.15,0.027779254,1504.708
10.5,0,711.0744
17.6,0.008033611,4311.055
19.35,0.033088472,521.3214
15.7,0.160663021,829.5868
18.1,0.178975721,1571.288
10.195,0.017627888,2403.538
,0.0194158,83.8908
6.655,0.016993225,844.2344
19,0.027139013,2940.1728
7.075,0.03777249,291.6204
13.15,0.036746479,3259.7568
20.1,0.022460102,3415.554
20.35,0,5624.6784
18.85,0.05213575,6687.961
16.35,0.062508438,5642.655
11.3,0.007309544,4943.565
17.5,0.015623754,3135.2522
18,0.142978223,796.9626
7.935,0.017191055,848.895
,0.143592939,38.6164
20.25,0.011995271,4997.4948
15.5,0.15717236,588.5672
,0.061393095,372.848
,0.264124669,155.1314
15.35,0.020310046,3038.7112
10.1,0.054630834,1587.2672
16.7,0.052517969,687.1056
20.7,0.047565208,1929.4884
16,0.060797393,3600.6464
14,0.041291169,2181.1608
12.85,0.022604051,3428.2042
20.85,0.056580228,623.1888
12.35,0.164196823,2133.2232
6.85,0.022976497,3401.5722
10.3,0.027310252,1289.6546
,0.141975462,50.6008
8.775,0,790.9704
18.85,0.01619866,3147.9024
,0.014205168,2486.763
14.85,0.09344495,1139.8496
20.5,0.019199733,1816.3024
7.84,0.154120252,199.74
18.25,0.089004389,978.726
10.3,0.011117041,2683.174
12.5,0.103422709,2897.5616
,0.089035961,9158.079
20.25,0.102723919,1957.452
,0.024733134,1296.3126
15,0.044871033,2528.7084
8.325,0.029760052,284.2966
15.85,0.078999287,759.012
13.1,0.020870744,1787.673
6.26,0.031599715,2431.5016
17.25,0.042413704,4466.1864
5.765,0.072284689,2048.6666
13.6,0.009984847,1940.807
10.5,0.052852621,2067.309
7.975,0.014660821,2663.2
12.65,0.076354362,1146.5076
12.3,0.076709639,3448.844
5.985,0.005677876,1665.8316
,0,8114.7704
15.15,0.012282366,1713.7692
12.35,0.026681262,810.9444
14.3,0.127541722,1193.1136
8.695,0.119513002,856.8846
16.35,0.054463442,165.7842
6.135,0,1057.9562
19.5,0.015756784,2205.1296
9.5,0.010907967,2940.1728
8.895,0.07543556,3046.7008
18.25,0,3327.6684
21.35,0.115194717,520.6556
19.7,0.066922802,2999.429
,0.064636203,2113.2492
16.6,0.103195401,942.7728
,0.13121032,75.2354
10.895,0.035747522,1581.9408
,0.192650072,37.9506
,0.098031771,151.8024
,0.030118338,3486.1288
8.51,0.016201845,4262.4516
14.15,0.05837308,731.0484
6.65,0.087652908,1398.8458
15.25,0.065999008,2336.958
18.25,0.088750333,2348.9424
,0.100277876,7094.7648
16,0.099252438,1054.6272
19.2,0,1298.31
12.15,0,2330.3
8.895,0.026384672,4584.6988
10.895,0.228993134,527.3136
16,0.065431917,1869.5664
,0.026749991,2876.256
9.195,0,407.4696
11.35,0.043333912,2189.8162
10,0.089656812,1603.9122
9.395,0.039954281,2013.3792
,0.087854925,95.8752
20.75,0.149404057,774.9912
9.8,0.0268952,2403.538
5.695,0.065857092,4380.2982
18.2,0.161817014,219.714
19.35,0.082197959,729.051
18.35,0.015335349,1393.5194
6.36,0.00599072,5262.4832
9.8,0.013898123,372.848
,0.078912473,3273.7386
,0.059776237,5344.3766
6.635,0,303.6048
18.1,0.297883712,314.2576
8.93,0.022059594,276.307
8.3,0.03532494,721.0614
8.895,0.124967595,3467.4864
16.35,0.062411404,5416.9488
8.6,0.032754431,283.6308
,0.160178832,323.5788
19,0.104035148,5206.556
7.56,0.06390019,2503.408
12.6,0.062648111,1960.781
15.6,0.111685868,370.1848
8.71,0.233039817,95.8752
18.1,0.17824575,3299.7048
13.35,0.140241213,2684.5056
16.6,0,2085.2856
6.695,0.033935576,2210.456
,0.016516275,2187.153
16.6,0.026537206,1049.9666
15.35,0.015673267,2719.793
19.7,0.089083914,56.593
14.3,0.131152799,231.6984
,0.083109455,5734.5354
10,0.045818773,1398.18
14.8,0.044869794,1531.34
,0,319.584
8.71,0.04605781,633.8416
12.15,0.030815427,1014.6792
17.85,0.01806055,2094.6068
9.5,0.035205866,2386.2272
11.8,0.076705948,780.9834
14.1,0.089677773,1693.7952
,0.132327406,334.2316
19.35,0.065520388,1342.2528
19.75,0.012518707,4916.2672
10.3,0.050353695,1757.712
,0.110762642,1637.868
,0.045050674,1747.725
10.8,0.083016832,2876.256
17.75,0,1966.7732
8.575,0.023983258,958.752
19.1,0.075836522,81.2276
20.7,0.100330684,1238.388
,0.051778173,319.584
6.785,0.022970468,4418.2488
6.57,0.066014596,2863.6058
5.78,0.07429945,1845.5976
6.92,0.131128467,1561.9668
20.25,0.014816356,3848.324
13.65,0.049318315,2097.27
13.5,0.017960492,639.168
16.5,0.035801238,559.272
16.7,0.038606365,2770.3938
8.68,0.008871687,295.6152
,0.125793938,37.9506
7.235,0.058369013,1267.0174
16.75,0,353.5398
15.35,0.073269336,1118.544
10.8,0.049677651,4655.2736
6.26,0.031470832,1547.3192
5.63,0.024579432,1045.306
6.92,0.131665479,275.6412
12.15,0.015523707,2735.1064
16.6,0.122475364,347.5476
9.195,0.107891398,3817.0314
19,0.128065918,1905.5196
9.395,0.045361705,665.8
9.8,0.090390357,2324.9736
,0.087029712,3205.1612
18.85,0.052054819,2101.9306
9.13,0.051952573,1821.6288
9,0.050786366,3643.2576
17.1,0.067141355,2942.836
6.715,0.121485195,587.2356
5.82,0.080640478,2886.243
18.7,0.037699254,2223.772
7.93,0,487.3656
18.75,0.034501405,5770.4886
,0.053795154,1414.1592
5,0.044004675,5502.837
7.445,0,2181.8266
20.85,0.121250374,1565.9616
20.85,0,1054.6272
19.2,0.100230114,1667.829
17.35,0.167383061,2812.3392
14.3,0.034404732,489.363
19.5,0.082719632,2865.6032
6.675,0.041913535,1665.8316
8.18,0.0132043,2694.4926
6.98,0.041105789,1555.9746
,0.141106202,3836.3396
16.85,0.036463975,543.2928
14.8,0.01946418,1950.794
12.3,0,177.7686
7.435,0.123086812,1035.319
15.1,0.105646853,949.4308
9.195,0.118149377,1283.6624
10.1,0.046545786,484.7024
16,0.065009745,934.7832
17.7,0.016630303,534.6374
8.1,0.134532392,878.856
20.6,0.083133128,1332.9316
20.35,0.039428167,3560.6984
8.195,0,647.8234
17.75,0.034823127,4993.5
7.475,0.148492521,1691.7978
19,0.065901299,1695.7926
12.6,0.041622264,4042.7376
,0.064933297,4763.799
7.895,0.0945493,1640.5312
,0.107076832,1288.9888
17.1,0.128674983,2334.9606
8.355,0.188322664,2207.127
,0,437.4306
18.5,0.052025392,2370.248
,0.065316099,5087.3778
8.975,0.01516265,103.199
10.1,0.053584207,4697.8848
9.285,0.020989132,2406.867
11.6,0.144017405,5736.5328
,0.115978122,7192.6374
12.5,0.081465335,6611.394
16,0.041177505,3246.4408
14.15,0.042352822,1262.3568
20.2,0.074541867,1758.3778
13.65,0.18454121,4672.5844
17.25,0.114160573,3775.086
5.655,0.175352413,2478.7734
20.75,0.083590755,3067.3406
5.175,0.029471408,3281.7282
20,0.028282832,1086.5856
11.8,0,229.701
16.75,0.008208342,1528.011
18.35,0.03334929,1990.742
12.8,0.076060037,868.869
19.75,0.014301326,1230.3984
8.75,0.074931201,938.778
13.3,0.080131363,4194.54
18.85,0.167444431,1166.4816
9.695,0.03033748,5764.4964
20.7,0.04874969,113.8518
,0.014788594,7443.644
11.1,0.111298111,3057.3536
8.975,0.05268526,3579.3408
12.15,0.018485511,1522.0188
7.67,0.184689756,450.0808
13.8,0.064153845,607.2096
4.785,0.092516598,1325.6078
20,0.104245198,1270.3464
,0.041779181,1107.8912
8.395,0.07226985,3542.056
6.175,0.179806961,1534.0032
8.21,0.044995631,1308.297
19.7,0.053523765,1471.418
19.6,0.041459372,1239.7196
7.5,0.036234918,3896.2616
5.845,0.105445801,1496.0526
11.395,0,3460.8284
7.17,0.05997133,2870.9296
5.75,0.075595405,1259.6936
15.5,0.210375806,177.1028
7.76,0.059341019,798.96
13.65,0.18520944,3185.853
10.8,0.098566832,1488.063
11.1,0.11084417,5159.2842
,0.0350152,5954.2494
12.8,0.023567538,4500.808
8.785,0,121.8414
20.6,0.04792722,4318.3788
7.89,0.036207786,3456.1678
16.85,0.044377096,1659.8394
16.35,0.034742632,759.012
,0.116915909,4974.1918
17.35,0.062979148,1707.777
,0.068604503,7488.9184
,0.03294861,2488.7604
12.6,0.007450258,2816.334
5.32,0.093027718,2954.1546
,0.164864915,761.0094
13,0.083498083,593.2278
,0.014522363,1298.31
19.85,0.025963795,1150.5024
17.6,0.019012262,3072.667
14.6,0.059393919,3259.7568
7.55,0.027212058,2756.412
13.8,0.013263968,2930.1858
17.25,0.079113947,97.2068
10.1,0.03020851,1544.656
14.3,0.049634817,3165.879
9.8,0.047187038,1619.2256
11.3,0.066681333,387.4956
7.67,0.185218446,415.4592
13.8,0.162462044,226.372
10.395,0.031273559,1267.6832
20.7,0.042836778,1593.9252
,0.114127418,585.904
17.35,0.146895866,3745.125
16.35,0.013420879,1810.976
19.35,0.026181893,2358.2636
15.2,0.012184999,145.8102
14.3,0.026428924,554.6114
,0.045243613,3499.4448
20,0,1780.3492
,0.076790922,2566.659
10.1,0.045950475,1230.3984
,0.133673087,918.804
,0.060252433,3079.9908
8.18,0.082529704,744.3644
19.5,0.082552214,716.4008
18.7,0.089272253,5113.344
12.35,0.072541731,886.8456
16,0.017536671,1039.9796
8.395,0.072088552,4554.072
4.785,0.092781435,1807.647
5.03,0.008644894,2665.8632
15.6,0.025342692,1751.054
7.285,0.031145743,2626.581
20.35,0,1470.0864
17.7,0.030108283,4362.3216
,0.044391149,4476.1734
20.25,0.022639471,2241.0828
8.945,0,4733.838
,0.139419417,258.3304
18.25,0.015278899,3174.5344
20.35,0.039329257,2924.8594
16.75,0.008579863,960.7494
12.1,0.028164527,539.298
18.5,0,2041.3428
15,0.054367971,996.0368
19.5,0.0273467,1757.712
13.65,0.016001434,1842.9344
13.15,0.165328057,3435.528
,0.013529884,1402.1748
20.6,0.030510526,7833.8028
6.28,0.027699863,1221.0772
5.925,0.09646733,669.129
17.7,0.011636708,1061.951
18.85,0.141642219,2874.9244
,0.044767801,4592.0226
17.5,0.028009382,419.454
17.7,0.1164455,5163.9448
16.1,0.013584408,323.5788
9.8,0.026950104,1265.02
7.565,0.054751689,622.523
17.6,0.076121831,1125.202
12.15,0.058516562,5198.5664
9.31,0.037923509,379.506
19.25,0.058365706,2432.8332
9.5,0.031346387,1657.842
15.35,0.015663185,3006.087
,0.063750302,2287.023
,0.07252476,1687.1372
17.85,0.038040837,3237.1196
7.02,0.049823902,2746.425
,0.014560297,1331.6
,0.026408698,607.8754
12.3,0.069446588,857.5504
5.46,0.03217132,4287.752
15.1,0.026046138,1773.6912
11.8,0.121848436,597.2226
19.25,0.108470504,441.4254
13.65,0,1431.47
13.35,0.038494623,2860.2768
,0.122830885,3364.9532
13.15,0.038029746,1757.712
14.3,0.065207559,966.7416
12.3,0.037014587,1958.1178
7.825,0.133281968,129.1652
19.1,0.045299563,365.5242
8.71,0.121149472,1783.6782
19.6,0.094083303,2790.3678
19.5,0,2328.3026
15.85,0,2822.992
,0.035022503,2045.3376
17.6,0.016060186,505.3422
,0.009014978,3095.97
19.1,0.096733815,5141.3076
6.13,0.102607233,808.947
6.55,0.024521191,2665.8632
16.5,0.160624116,2588.6304
17,0.052165855,1108.557
10.5,0,1304.968
8.93,0,331.5684
,0.07753654,3235.788
16.1,0.024928351,3089.312
,0.08071118,3355.632
5.82,0.080968973,2037.348
16.25,0.057485328,1867.569
13.35,0.149669322,898.83
,0.024776026,7759.899
5.15,0.061165512,2848.2924
,0.041718456,2868.9322
7.865,0.06100886,3617.9572
9.895,0.167799329,5243.8408
17.35,0.167351411,2109.2544
8.365,0.071832909,721.0614
6.675,0.041886576,1203.1006
,0.150341867,1868.2348
17.35,0.020542737,322.2472
16.75,0.045047439,3942.8676
18.85,0.091008572,3195.84
6.575,0.07549348,3338.3212
12.65,0.156286566,4086.0146
15.2,0.033735909,1856.2504
,0.078547351,1380.8692
7.07,0.093653464,1267.0174
13.65,0.036107198,5182.5872
,0.109003832,147.1418
7.06,0.073480266,58.5904
11.8,0.113234914,5367.6796
,0.037711338,1358.232
9.3,0.016054884,5976.2208
,0.021170542,2251.7356
,0.065188619,181.7634
13.6,0.117537563,5443.5808
19.5,0.01430324,1547.3192
19.35,0.137697119,145.8102
,0.047008497,5063.409
13.1,0,3067.3406
16.7,0.060863167,2857.6136
5.785,0,1406.1696
,0.045105407,178.4344
6.13,0.076855207,1470.0864
9.8,0.024482644,2896.23
,0,6515.5188
7.42,0.020474913,996.0368
16.7,0.062044506,948.0992
,0.220225608,87.2198
9,0.079794329,1178.466
,0.114916546,565.2642
6.36,0.00597362,2137.8838
17.7,0.146973462,547.2876
16.5,0.07376631,2691.8294
,0.049349121,3057.3536
,0.328390948,588.5672
11.85,0.13267058,978.726
10.195,0.012455787,2356.932
,0.058142797,3086.6488
,0.006289291,461.3994
13.65,0.04929502,2696.49
20.35,0.054362695,1649.8524
20.2,0.110356797,126.502
13.85,0.085274988,2014.7108
8.05,0.164542555,1707.777
7.365,0.160292264,932.12
12.5,0.112859454,2157.192
7.42,0.021569566,4643.955
,0.073055148,1280.9992
6.235,0.119345629,2366.919
12.35,0.072334667,886.8456
6.75,0.108148913,958.752
16.75,0.07585337,1150.5024
19.35,0.062655235,2641.8944
9.6,0.022278477,1547.985
19.85,0.020961192,619.194
15.1,0.025993423,2808.3444
,0.018838681,2266.3832
6.59,0.105577348,1929.4884
16.75,0.129086113,1054.6272
15.2,0.113125627,1155.8288
13,0.070699313,1174.4712
5.86,0.151467821,3412.8908
11.395,0.03616416,300.9416
20.85,0.062606583,387.4956
,0.0704378,2942.836
5.035,0.079844043,4098.6648
11.15,0.120139206,452.744
6.38,0.032028115,3211.8192
8.39,0.120497266,2620.5888
5.675,0.023492524,1414.1592
15.7,0.122657336,1565.9616
13,0.070588037,1043.9744
,0.073024401,3115.944
13.5,0.159587755,729.051
8.895,0.088821765,2956.152
10.895,0.136810742,527.3136
16.2,0.128682722,1058.622
,0.109459733,1320.9472
15.1,0.096644015,3047.3666
7.475,0.013120028,1725.7536
,0,143.147
10.8,0.048339408,446.7518
20,0.08165845,585.904
14.3,0.04975339,6331.758
10.1,0.030379382,1853.5872
17.85,0.065810045,2247.075
9.5,0,33.29
20.75,0.025272781,445.4202
12.1,0.019314961,657.8104
20.6,0.071282168,223.7088
7.67,0.184843579,727.0536
,0.122896411,218.3824
20.6,0.082935004,2665.8632
15.35,0.161350176,591.2304
5.46,0.106968096,2311.6576
9.395,0.159582185,7017.532
,0.14453827,895.501
10,0.038685802,4655.2736
,0.172309903,198.4084
7.445,0.037690731,451.4124
,0.05787008,50.6008
15.5,0.026409147,615.1992
19.85,0.064367627,876.1928
11.5,0.173516063,2454.1388
,0.12898088,251.6724
10.5,0.048115543,4102.6596
19.7,0.077899109,2696.49
,0.13093275,1569.9564
10.3,0.098464979,189.753
20.85,0.037372847,3099.9648
13.35,0.032230526,743.0328
12.1,0.040357315,1611.9018
20.1,0.07461309,1215.7508
,0.160936178,367.5216
21.25,0.019502354,3150.5656
,0.065577449,7370.406
6.655,0.016944719,2954.8204
13.65,0.065576228,643.1628
,0.02579577,89.2172
13.6,0.010008699,4940.236
15.5,0.053362086,735.709
10.895,0.064621927,1170.4764
19.7,0.018126724,1135.189
8.1,0,3823.0236
21,0.049263979,1549.9824
13.65,0.021343732,114.5176
,0.110681931,1033.3216
,0.061955439,4561.3958
,0.076483451,2416.854
13.15,0.024701262,2133.2232
15.25,0.02671821,1482.7366
19.35,0.016597651,2892.2352
,0.0514111,984.7182
17.75,0.112985849,745.696
20.7,0.11411709,1323.6104
9.5,0,1547.3192
11.65,0.175033524,647.1576
21.1,0.020760673,1798.9916
7.865,0.061405051,1973.4312
12.35,0.026676216,1737.738
,0.029380407,1864.24
16.25,0.025715562,1516.0266
12.15,0.065026434,5060.08
10.5,0.066315023,2157.192
12.8,0.023664054,5400.9696
,0.154627247,5469.547
4.61,0.205294827,174.4396
