id,price,service fee,minimum nights,number of reviews,reviews per month,availability 365
1043863,$116 ,$23 ,1,142,1.5,
1044415,$54 ,$11 ,30,25,0.22,
1044968,$744 ,$149 ,3,143,1.28,
1045520,"$1,065 ",$213 ,3,167,1.65,
1046072,"$1,057 ",$211 ,3,61,0.54,
1046625,"$1,056 ",$211 ,31,54,0.49,
1047177,$909 ,$182 ,5,70,0.62,
1047729,$586 ,$117 ,6,16,0.15,
1048282,$575 ,$115 ,30,94,0.84,
1048834,$292 ,$58 ,1,25,0.24,
1049386,$194 ,$39 ,3,61,0.53,
1049938,$123 ,$25 ,3,194,1.73,
1050491,"$1,079 ",$216 ,1,2,0.05,
1051043,$266 ,$53 ,3,174,1.54,
1051595,$728 ,$146 ,4,24,0.28,
1052148,$583 ,$117 ,4,166,3.4,
1052700,$51 ,$10 ,7,16,0.2,
1053252,$588 ,$118 ,7,21,0.3,
1053805,$360 ,$72 ,5,168,1.57,82
1054357,$380 ,$76 ,,118,1.05,92
1054909,$343 ,$69 ,,,0.71,55
1055461,$160 ,$32 ,,1,0.11,158
1056014,$528 ,$106 ,,30,0.27,64
1056566,$739 ,$148 ,,139,1.23,184
1057118,$913 ,$183 ,,11,0.87,201
1057671,$507 ,$101 ,,233,2.09,328
1058223,$306 ,$61 ,,68,0.6,393
1058775,"$1,078 ",$216 ,,46,0.55,96
1059328,$887 ,$177 ,,335,3.02,61
1059880,$243 ,$49 ,30,88,0.79,267
1060432,$500 ,$100 ,90,162,1.46,189
1060984,$589 ,$118 ,30,29,0.4,83
1061537,$839 ,$168 ,2,170,1.61,258
1062089,$528 ,$106 ,30,19,0.2,400
1062641,$66 ,$13 ,2,334,3,34
1063194,$761 ,$152 ,2,19,0.2,203
1063746,$523 ,$105 ,7,12,0.13,35
1064298,$631 ,$126 ,30,467,4.22,280
1064851,$677 ,$135 ,2,7,0.06,417
1065403,$574 ,$115 ,5,38,0.38,162
1065955,$232 ,$46 ,3,324,3.01,169
1066507,"$1,154 ",$231 ,6,27,0.27,237
1067060,$737 ,$147 ,1,115,1.05,242
1067612,$456 ,$91 ,2,354,3.2,227
1068164,$291 ,$58 ,2,195,2.03,173
1068717,$996 ,$199 ,2,16,0.24,146
1069269,$788 ,$158 ,7,13,0.12,243
1069821,"$1,105 ",$221 ,4,25,0.23,425
1070374,"$1,109 ",$222 ,2,9,0.08,113
1070926,$659 ,$132 ,1,9,0.08,260
1071478,$571 ,$114 ,5,21,0.19,395
1072030,$736 ,$147 ,15,36,0.33,266
1072583,$946 ,$189 ,3,63,0.58,58
1073135,$449 ,$90 ,3,155,1.42,410
1073687,$930 ,$186 ,3,260,2.35,388
1074240,$329 ,$66 ,5,73,0.66,13
1074792,"$1,125 ",$225 ,3,193,1.86,62
1075344,"$1,099 ",$220 ,3,32,0.29,62
1075897,$256 ,$51 ,2,50,0.45,366
1076449,$263 ,$53 ,29,26,0.25,338
1077001,$96 ,$19 ,2,2,0.02,334
1077553,"$1,192 ",$238 ,,426,3.89,92
1078106,$593 ,$119 ,,227,2.09,-10
1078658,$490 ,$98 ,,84,0.77,378
1079210,$488 ,$98 ,,,0.03,325
1079763,$658 ,$132 ,,10,0.1,-2
1080315,"$1,109 ",$222 ,,4,0.04,351
1080867,$606 ,$121 ,,1,0.01,389
1081420,$853 ,$171 ,,124,1.72,16
1081972,$172 ,$34 ,,11,0.11,325
1082524,,$64 ,4,240,2.19,337
1083076,,$119 ,3,30,0.28,344
1083629,"$1,133 ",$227 ,3,200,1.86,166
1084181,$162 ,$32 ,8,27,1.05,18
1084733,$944 ,$189 ,4,79,0.74,130
1085286,$505 ,$101 ,15,9,0.09,43
1085838,$113 ,$23 ,3,155,1.61,18
1086390,$810 ,$162 ,15,4,0.05,0
1086943,$370 ,$74 ,2,34,0.32,373
1087495,$738 ,$148 ,45,134,1.24,426
1088047,"$1,013 ",$203 ,6,27,0.25,396
1088599,$464 ,$93 ,4,126,1.16,280
1089152,$744 ,$149 ,3,23,0.27,419
1089704,$764 ,$153 ,1,234,2.6,353
1090256,"$1,020 ",$204 ,4,202,1.86,377
1090809,$355 ,$71 ,30,28,0.26,395
1091361,$244 ,$49 ,2,309,,169
1091913,$385 ,$77 ,47,14,,190
1092466,$950 ,$190 ,81,4,,335
1093018,$374 ,$75 ,144,80,,52
1093570,$375 ,$75 ,371,2,,70
1094122,$925 ,$185 ,149,294,,311
1094675,$842 ,$168 ,273,150,1.4,141
1095227,"$1,015 ",$203 ,131,166,1.66,-1
1095779,$503 ,$101 ,275,47,0.94,263
1096332,$483 ,$97 ,323,219,2.04,200
1096884,$176 ,$35 ,59,193,1.78,219
1097436,$185 ,$37 ,99,84,0.78,144
1097989,$387 ,$77 ,268,114,1.06,320
1098541,"$1,155 ",$231 ,-10,213,2,19
1099093,$665 ,$133 ,189,86,0.8,293
1099645,$175 ,$35 ,30,80,0.75,58
1100198,$408 ,$82 ,340,38,0.36,163
1100750,$601 ,$120 ,128,18,1.79,240
1101302,$107 ,$21 ,350,206,1.92,96
1101855,$724 ,$145 ,166,10,0.11,300
1102407,$450 ,$90 ,110,122,1.18,425
1102959,"$1,153 ",$231 ,57,33,0.58,421
1103512,$327 ,$65 ,142,52,0.5,83
1104064,$946 ,$189 ,366,126,1.17,332
1104616,$498 ,$100 ,,51,0.48,271
1105168,$720 ,$144 ,,199,1.85,156
1105721,$174 ,$35 ,,30,0.29,
1106273,$323 ,$65 ,,3,0.03,
1106825,$539 ,$108 ,,41,0.38,
1107378,$232 ,$46 ,,109,1.04,
1107930,$968 ,$194 ,,151,1.43,
1108482,$460 ,$92 ,14,0,,
1109035,$81 ,$16 ,1,285,2.69,
1109587,$267 ,$53 ,1,375,3.52,
1110139,"$1,084 ",$217 ,2,52,0.49,
1110691,$402 ,$80 ,5,10,1.01,
1111244,$457 ,$91 ,2,11,0.48,
1111796,$938 ,$188 ,30,33,0.31,
1112348,$405 ,$81 ,7,6,0.06,420
1112901,$907 ,$181 ,7,38,0.38,294
1113453,$693 ,$139 ,2,358,3.44,286
1114005,$586 ,$117 ,6,10,0.09,399
1114558,$112 ,$22 ,30,0,,12
1115110,$936 ,$187 ,2,226,2.12,263
1115662,$749 ,$150 ,1,104,1,15
1116214,$538 ,$108 ,1,138,1.45,138
1116767,$252 ,$50 ,5,204,1.92,327
1117319,,$176 ,2,253,3.04,124
1117871,,$152 ,2,23,0.22,137
1118424,,$151 ,2,115,1.17,192
1118976,,$48 ,5,129,,81
1119528,$131 ,$26 ,4,82,,361
1120081,$444 ,$89 ,3,37,0.35,341
1120633,"$1,089 ",$218 ,1,204,2.04,353
1121185,$518 ,$104 ,2,69,0.65,213
1121737,$220 ,$44 ,1,192,1.84,137
1122290,"$1,133 ",$227 ,2,17,0.16,336
1122842,$316 ,$63 ,2,222,2.12,23
1123394,$396 ,$79 ,3,205,1.96,19
1123947,$813 ,$163 ,3,94,0.96,395
1124499,$111 ,$22 ,3,7,0.07,410
1125051,$908 ,$182 ,2,108,1.09,78
1125604,$823 ,$165 ,3,222,2.1,188
1126156,$186 ,$37 ,1,458,4.58,338
1126708,$84 ,$17 ,2,21,0.26,66
1127260,$241 ,$48 ,7,17,0.3,322
1127813,$54 ,$11 ,3,41,0.39,322
1128365,$656 ,$131 ,14,1,0.01,80
1128917,$509 ,$102 ,2,69,0.67,146
1129470,"$1,198 ",$240 ,4,18,0.18,382
1130022,$588 ,$118 ,30,82,0.78,329
1130574,$228 ,$46 ,4,94,0.99,9
1131127,$874 ,$175 ,5,10,0.1,256
1131679,"$1,052 ",$210 ,28,183,1.83,-6
1132231,"$1,127 ",$225 ,1,189,1.82,83
1132783,$137 ,$27 ,2,1,0.11,173
1133336,$138 ,$28 ,2,127,1.22,386
1133888,$597 ,$119 ,4,4,0.04,201
1134440,$252 ,$50 ,3,135,1.3,109
1134993,$959 ,$192 ,2,21,0.2,12
1135545,$595 ,$119 ,2,35,0.34,0
1136097,"$1,076 ",$215 ,14,10,2.21,319
1136650,$956 ,$191 ,4,171,1.8,50
1137202,$81 ,$16 ,200,92,0.9,118
1137754,$472 ,$94 ,3,238,2.3,350
1138306,"$1,058 ",$212 ,50,56,0.58,85
1138859,"$1,028 ",$206 ,3,111,2.13,150
1139411,$725 ,$145 ,2,193,,138
1139963,$784 ,$157 ,2,147,,-1
1140516,$593 ,$119 ,2,177,,313
1141068,"$1,067 ",$213 ,3,185,,248
1141620,$794 ,$159 ,9,62,,80
1142173,$842 ,$168 ,3,124,1.22,230
1142725,"$1,164 ",$233 ,2,181,1.77,145
1143277,"$1,032 ",$206 ,2,333,3.19,
1143829,$545 ,$109 ,5,441,4.5,
1144382,$786 ,$157 ,1,45,0.46,
1144934,$114 ,$23 ,14,9,0.09,
1145486,$643 ,$129 ,2,0,,
1146039,$909 ,$182 ,2,38,0.5,
1146591,$841 ,$168 ,399,248,2.39,
1147143,$73 ,$15 ,5,143,1.38,
1147696,"$1,143 ",$229 ,3,36,0.41,
1148248,$373 ,$75 ,7,0,,
1148800,$572 ,$114 ,17,14,0.14,
1149352,$136 ,$27 ,3,0,,
1149905,$383 ,$77 ,3,279,2.69,
1150457,$343 ,$69 ,4,18,0.22,
1151009,"$1,095 ",$219 ,6,50,3.55,
1151562,$503 ,$101 ,2,227,2.27,
1152114,$895 ,$179 ,14,1,0.16,
1152666,$426 ,$85 ,2,203,1.96,
1153219,"$1,127 ",$225 ,2,210,2.1,267
1153771,$368 ,$74 ,5,64,0.67,300
1154323,$679 ,$136 ,3,0,,350
1154875,$850 ,$170 ,7,5,0.15,33
1155428,"$1,003 ",$201 ,10,49,0.48,407
1155980,$875 ,$175 ,,132,1.27,422
1156532,$953 ,$191 ,,20,0.26,378
1157085,$720 ,$144 ,,11,0.11,46
1157637,$387 ,$77 ,,51,0.57,101
1158189,$662 ,$132 ,,15,0.15,210
1158742,$375 ,$75 ,,67,1.31,104
1159294,$706 ,$141 ,,109,1.11,350
1159846,$387 ,$77 ,,9,0.11,323
1160398,$487 ,$97 ,,187,1.87,34
1160951,$779 ,$156 ,,214,2.08,188
1161503,$209 ,$42 ,,69,0.79,96
1162055,"$1,083 ",$217 ,,22,0.26,352
1162608,$616 ,$123 ,,56,0.56,78
1163160,$968 ,$194 ,3,93,0.93,416
1163712,$643 ,$129 ,1,104,1.05,206
1164265,$960 ,$192 ,30,64,0.68,52
1164817,$961 ,$192 ,3,127,1.25,295
1165369,$544 ,$109 ,11,30,0.32,76
1165921,$523 ,$105 ,2,106,1.34,16
1166474,$614 ,$123 ,452,6,0.1,351
1167026,$178 ,$36 ,2,191,1.88,397
1167578,$61 ,$12 ,30,48,0.55,276
1168131,$901 ,$180 ,5,47,0.49,68
1168683,"$1,189 ",$238 ,2,120,1.27,398
1169235,$783 ,$157 ,3,52,0.63,135
1169788,$69 ,$14 ,2,48,0.48,86
1170340,"$1,018 ",$204 ,3,32,0.43,412
1170892,$651 ,$130 ,25,43,0.42,87
1171444,$935 ,$187 ,30,39,0.44,-9
1171997,$784 ,$157 ,1,50,0.5,47
1172549,$55 ,$11 ,30,4,0.35,315
1173101,$989 ,$198 ,13,38,0.39,105
1173654,"$1,029 ",$206 ,3,29,0.36,87
1174206,$291 ,$58 ,4,59,0.6,52
1174758,$787 ,$157 ,1,68,0.67,189
1175311,$269 ,$54 ,14,26,0.27,132
1175863,$725 ,$145 ,14,31,0.31,81
1176415,$612 ,$122 ,2,198,2.01,42
1176967,$920 ,$184 ,2,1,0.01,73
1177520,"$1,080 ",$216 ,2,220,2.17,361
1178072,$824 ,$165 ,3,286,2.81,177
1178624,"$1,038 ",$208 ,2,398,3.97,245
1179177,"$1,074 ",$215 ,3,36,0.36,272
1179729,$72 ,$14 ,3,36,0.36,386
1180281,$162 ,$32 ,4,6,0.1,247
1180834,$701 ,$140 ,6,14,0.3,394
1181386,$566 ,$113 ,14,76,0.76,179
1181938,$741 ,$148 ,,182,1.81,
1182490,$338 ,$68 ,,8,0.09,
1183043,"$1,065 ",$213 ,,7,0.07,
1183595,"$1,059 ",$212 ,,34,0.51,
1184147,"$1,109 ",$222 ,,2,0.02,
1184700,$981 ,$196 ,,66,,
1185252,$589 ,$118 ,,80,,
1185804,$685 ,$137 ,,240,2.4,
1186357,$348 ,$70 ,,46,1.07,
1186909,$824 ,$165 ,,228,2.27,
1187461,$68 ,$14 ,,5,0.05,
1188013,$933 ,$187 ,30,8,0.11,
1188566,$69 ,$14 ,2,33,0.33,
1189118,"$1,034 ",$207 ,3,13,0.14,
1189670,$248 ,$50 ,5,5,0.05,
1190223,"$1,019 ",$204 ,1,388,3.88,
1190775,$588 ,$118 ,3,223,2.22,
1191327,$206 ,$41 ,15,11,0.11,
1191880,$528 ,$106 ,2,151,1.51,
1192432,$332 ,$66 ,5,0,,
1192984,$174 ,$35 ,3,218,2.26,
1193536,$729 ,$146 ,2,75,0.76,
1194089,$292 ,$58 ,1,42,1.21,
1194641,"$1,142 ",$228 ,3455,0,,
1195193,"$1,056 ",$211 ,2,370,3.74,
1195746,$73 ,$15 ,-5,104,1.04,31
1196298,$56 ,$11 ,,13,0.13,95
1196850,"$1,047 ",$209 ,,4,0.07,154
1197403,$643 ,$129 ,,11,0.11,-9
1197955,$943 ,$189 ,,1,0.01,214
1198507,"$1,152 ",$230 ,,19,0.19,204
1199059,$599 ,$120 ,,131,1.31,351
1199612,$672 ,$134 ,,15,0.15,371
1200164,$50 ,$10 ,2,136,1.37,312
1200716,$671 ,$134 ,1,43,0.45,150
1201269,$575 ,$115 ,7,98,0.99,141
1201821,$99 ,$20 ,3,31,0.31,419
1202373,$52 ,$10 ,21,45,0.46,256
1202926,$964 ,$193 ,3,124,1.76,380
1203478,$68 ,$14 ,3,9,0.09,270
1204030,$549 ,$110 ,5,166,1.68,45
1204582,$438 ,$88 ,27,13,0.13,336
1205135,$490 ,$98 ,30,15,0.16,176
1205687,"$1,137 ",$227 ,3,380,3.83,379
1206239,"$1,170 ",$234 ,2,86,0.87,35
1206792,$753 ,$151 ,3,248,2.53,210
1207344,$369 ,$74 ,5,49,0.56,203
1207896,$508 ,$102 ,18,54,0.57,264
1208449,$443 ,$89 ,7,3,0.03,402
1209001,$947 ,$189 ,1,1,0.02,53
1209553,$857 ,$171 ,2,56,0.57,252
1210105,$861 ,$172 ,2,163,1.66,398
1210658,$536 ,$107 ,2,247,2.51,82
1211210,$690 ,$138 ,10,116,1.17,5
1211762,$971 ,$194 ,14,27,0.28,362
1212315,$696 ,$139 ,1,52,0.6,338
1212867,"$1,188 ",$238 ,6,39,0.4,238
1213419,"$1,083 ",$217 ,14,35,0.35,61
1213972,$471 ,$94 ,1,320,3.23,414
1214524,$257 ,$51 ,365,30,0.32,204
1215076,$225 ,$45 ,3,225,2.27,209
1215628,"$1,042 ",$208 ,30,95,0.96,238
1216181,$52 ,$10 ,4,70,0.75,406
1216733,$409 ,$82 ,2,35,0.36,11
1217285,$121 ,$24 ,2,0,,227
1217838,$788 ,$158 ,4,50,0.51,235
1218390,$586 ,$117 ,2,29,0.31,318
1218942,$608 ,$122 ,2,23,0.23,280
1219495,$964 ,$193 ,2,142,1.44,140
1220047,$154 ,$31 ,2,70,0.73,256
1220599,$132 ,$26 ,2,38,0.54,107
1221151,$779 ,$156 ,-1,82,0.94,131
1221704,$619 ,$124 ,2,403,4.1,35
1222256,"$1,155 ",$231 ,1,3,0.03,117
1222808,$281 ,$56 ,30,3,0.03,316
1223361,$280 ,$56 ,1,116,1.18,289
1223913,,$29 ,2,175,1.79,119
1224465,,$56 ,3,28,1.21,270
1225018,,$157 ,4,24,0.25,424
1225570,$250 ,$50 ,2,15,0.15,155
1226122,$430 ,$86 ,4,105,1.07,313
1226674,"$1,170 ",$234 ,10,22,0.38,287
1227227,$572 ,$114 ,2,263,2.69,
1227779,$173 ,$35 ,3,86,0.91,
1228331,"$1,092 ",$218 ,4,10,0.1,
1228884,"$1,033 ",$207 ,7,18,0.21,
1229436,"$1,015 ",$203 ,5,8,0.21,
1229988,$507 ,$101 ,20,70,0.73,
1230541,$852 ,$170 ,3,150,1.55,
1231093,$445 ,$89 ,2,115,1.18,
1231645,$170 ,$34 ,2,69,0.71,
1232197,$377 ,$75 ,3,232,2.41,
1232750,"$1,162 ",$232 ,1,35,0.41,416
1233302,$438 ,$88 ,3,18,0.21,377
1233854,$874 ,$175 ,-10,68,0.69,13
1234407,$589 ,$118 ,4,22,0.23,84
1234959,$725 ,$145 ,8,17,0.17,291
1235511,$661 ,$132 ,,34,0.58,113
1236064,$960 ,$192 ,,8,0.08,207
1236616,$162 ,$32 ,,0,,50
1237168,$431 ,$86 ,,2,0.08,349
1237720,$226 ,$45 ,,52,0.72,198
1238273,"$1,101 ",$220 ,,74,0.76,143
1238825,$954 ,$191 ,3,18,0.19,293
1239377,$233 ,$47 ,2,72,0.86,285
1239930,"$1,032 ",$206 ,5,191,2.18,245
1240482,"$1,123 ",$225 ,4,0,,358
1241034,$811 ,$162 ,1,197,2.49,132
1241587,$935 ,$187 ,4,19,0.2,327
1242139,$465 ,$93 ,1,414,4.34,325
1242691,$256 ,$51 ,2,8,0.09,331
1243243,$716 ,$143 ,2,0,,378
1243796,"$1,196 ",$239 ,7,25,0.3,283
1244348,$448 ,$90 ,3,119,1.22,114
1244900,$920 ,$184 ,-12,203,2.14,77
1245453,$805 ,$161 ,40,53,0.55,376
1246005,$859 ,$172 ,2,104,1.09,211
1246557,$691 ,$138 ,3,175,1.8,256
1247110,$693 ,$139 ,3,38,0.42,145
1247662,$747 ,$149 ,45,39,0.5,112
1248214,$906 ,$181 ,31,88,0.91,296
1248766,$999 ,$200 ,1,27,0.28,181
1249319,$252 ,$50 ,5,117,1.28,47
1249871,$718 ,$144 ,3,43,0.44,130
1250423,$120 ,$24 ,5,4,0.05,106
1250976,"$1,161 ",$232 ,2,385,4,97
1251528,$407 ,$81 ,1,64,0.68,368
1252080,$857 ,$171 ,1,39,0.41,193
1252633,$839 ,$168 ,2,37,1.79,362
1253185,"$1,126 ",$225 ,3,10,0.12,100
1253737,$166 ,$33 ,2,103,1.08,248
1254289,$330 ,$66 ,40,41,0.43,400
1254842,$225 ,$45 ,6,3,0.03,231
1255394,$839 ,$168 ,3,227,2.33,399
1255946,$687 ,$137 ,5,37,0.79,297
1256499,$293 ,$59 ,2,29,0.35,-4
1257051,$814 ,$163 ,3,205,2.31,199
1257603,$698 ,$140 ,5,42,0.44,10
1258156,$515 ,$103 ,2,280,2.92,94
1258708,"$1,124 ",$225 ,4,86,0.89,228
1259260,$817 ,$163 ,2,54,0.56,70
1259812,$52 ,$10 ,7,7,0.07,315
1260365,"$1,198 ",$240 ,5,57,0.59,84
1260917,$613 ,$123 ,44,31,0.32,75
1261469,$961 ,$192 ,,188,1.94,388
1262022,"$1,111 ",$222 ,,480,6.7,319
1262574,$409 ,$82 ,398,34,0.35,182
1263126,$572 ,$114 ,,6,0.06,164
1263679,$413 ,$83 ,,3,0.04,266
1264231,$455 ,$91 ,,2,0.03,-4
1264783,$563 ,$113 ,,20,0.21,-6
1265335,$410 ,$82 ,-2,129,1.33,381
1265888,$229 ,$46 ,3,147,1.6,253
1266440,"$1,060 ",$212 ,28,101,1.06,53
1266992,"$1,046 ",$209 ,2,11,0.12,191
1267545,$114 ,$23 ,65,11,0.12,414
1268097,$721 ,$144 ,2,41,0.43,47
1268649,$146 ,$29 ,2,87,1.09,71
1269202,$101 ,$20 ,4,117,1.21,98
1269754,$723 ,$145 ,2,86,0.89,408
1270306,$762 ,$152 ,7,0,,159
1270858,"$1,133 ",$227 ,2,15,0.16,326
1271411,$277 ,$55 ,2,35,0.55,389
1271963,$424 ,$85 ,2,17,0.18,-9
1272515,$435 ,$87 ,3,3,0.04,9
1273068,$945 ,$189 ,5,43,0.47,147
1273620,$67 ,$13 ,3,168,4.6,345
1274172,$590 ,$118 ,3,241,2.49,186
1274725,$365 ,$73 ,2,105,1.13,248
1275277,$314 ,$63 ,2,11,0.46,187
1275829,"$1,139 ",$228 ,30,30,0.33,400
1276381,$638 ,$128 ,3,31,0.32,70
1276934,"$1,051 ",$210 ,4,49,0.51,268
1277486,$164 ,$33 ,4,23,0.24,209
1278038,$586 ,$117 ,2,20,0.21,247
1278591,$828 ,$166 ,10,18,0.9,
1279143,$600 ,$120 ,6,90,0.95,
1279695,$700 ,$140 ,2,99,1.04,
1280248,$623 ,$125 ,1,6,0.06,
1280800,"$1,135 ",$227 ,30,21,0.22,
1281352,$331 ,$66 ,30,24,0.26,
1281904,$271 ,$54 ,2,111,1.17,
1282457,$217 ,$43 ,2,86,0.91,
1283009,$613 ,$123 ,15,66,0.69,
1283561,$73 ,$15 ,2,271,2.84,
1284114,"$1,057 ",$211 ,2,227,2.4,19
1284666,$546 ,$109 ,4,80,1.55,88
1285218,$88 ,$18 ,30,5,0.07,62
1285771,$833 ,$167 ,2,187,1.97,420
1286323,,$83 ,1,2,0.02,256
1286875,,$130 ,6,1,0.02,266
1287427,$869 ,$174 ,3,67,0.7,18
1287980,$931 ,$186 ,1,63,0.68,349
1288532,$781 ,$156 ,1,89,1,404
1289084,$440 ,$88 ,4,1,0.02,398
1289637,"$1,181 ",$236 ,3,177,1.86,145
1290189,$923 ,$185 ,4,90,0.94,45
1290741,$858 ,$172 ,7,39,0.41,369
1291294,$413 ,$83 ,-3,42,0.44,292
1291846,$972 ,$194 ,3,33,0.35,214
1292398,$346 ,$69 ,3,179,2.02,114
1292950,$152 ,$30 ,3,81,0.85,171
1293503,$619 ,$124 ,28,43,0.45,-4
1294055,$557 ,$111 ,30,52,0.54,228
1294607,$177 ,$35 ,2,160,1.68,301
1295160,$836 ,$167 ,6,23,0.27,129
1295712,$181 ,$36 ,6,35,0.37,210
1296264,$913 ,$183 ,1,225,2.35,146
1296817,$556 ,$111 ,1,401,6.62,313
1297369,$67 ,$13 ,1,72,0.84,292
1297921,$253 ,$51 ,1,46,0.97,30
1298473,$348 ,$70 ,3,83,1.19,365
1299026,$951 ,$190 ,1,211,2.21,269
1299578,$832 ,$166 ,5,15,0.16,10
1300130,$652 ,$130 ,1,122,1.29,53
1300683,$175 ,$35 ,2,295,3.9,70
1301235,$710 ,$142 ,3,207,2.18,97
1301787,$783 ,$157 ,3,50,0.65,95
1302340,$760 ,$152 ,2,273,2.85,373
1302892,$910 ,$182 ,1,0,,124
1303444,$749 ,$150 ,30,25,0.26,67
1303996,$565 ,$113 ,4,105,1.62,43
1304549,$567 ,$113 ,4,72,0.76,402
1305101,$825 ,$165 ,,8,0.08,179
1305653,$458 ,$92 ,,58,0.61,340
1306206,$120 ,$24 ,,8,0.09,322
1306758,$613 ,$123 ,,172,1.84,63
1307310,$704 ,$141 ,,330,7.14,420
1307863,$644 ,$129 ,3,123,1.29,236
1308415,$500 ,$100 ,2,55,0.59,85
1308967,"$1,114 ",$223 ,4,87,0.99,75
1309519,$581 ,$116 ,3,258,2.7,130
1310072,$353 ,$71 ,2,4,0.18,240
1310624,$680 ,$136 ,14,31,0.33,425
1311176,$441 ,$88 ,4,128,1.34,-8
1311729,$357 ,$71 ,3,14,0.15,138
1312281,$128 ,$26 ,3,30,0.32,397
1312833,$924 ,$185 ,28,258,2.9,251
1313386,$186 ,$37 ,3,228,2.39,324
1313938,$844 ,$169 ,1,,0.65,85
1314490,$80 ,$16 ,90,9,0.2,93
1315042,$709 ,$142 ,2,179,1.88,66
1315595,$473 ,$95 ,7,9,0.1,264
1316147,$466 ,$93 ,1,1,0.37,375
1316699,$228 ,$46 ,30,25,0.49,103
1317252,$629 ,$126 ,2,2,0.05,91
1317804,$520 ,$104 ,3,152,1.6,380
1318356,$476 ,$95 ,30,24,0.25,259
1318909,$892 ,$178 ,2,45,0.47,4
1319461,$523 ,$105 ,30,7,0.08,267
1320013,$145 ,$29 ,7,19,0.35,231
1320565,$464 ,$93 ,1,24,0.26,384
1321118,$977 ,$195 ,4,8,0.09,
1321670,$970 ,$194 ,1,29,0.31,
1322222,$934 ,$187 ,1,14,0.15,
1322775,$898 ,$180 ,1,33,0.38,
1323327,$275 ,$55 ,4,99,1.04,
